------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 22:24:00
Start Date 11/26/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 22:24:45
Download Date 11/26/2023
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
11/26/2023 22:24:00.000,0.027,-0.504,0.301
11/26/2023 22:24:00.010,0.047,-0.473,0.34
11/26/2023 22:24:00.020,0.043,-0.406,0.391
11/26/2023 22:24:00.030,0.016,-0.34,0.445
11/26/2023 22:24:00.040,-0.047,-0.277,0.492
11/26/2023 22:24:00.050,-0.121,-0.262,0.52
11/26/2023 22:24:00.060,-0.16,-0.301,0.473
11/26/2023 22:24:00.070,-0.176,-0.363,0.328
11/26/2023 22:24:00.080,-0.219,-0.488,0.105
11/26/2023 22:24:00.090,-0.316,-0.707,-0.055
11/26/2023 22:24:00.100,-0.445,-1.004,-0.016
11/26/2023 22:24:00.110,-0.578,-1.359,0.18
11/26/2023 22:24:00.120,-0.684,-1.844,0.348
11/26/2023 22:24:00.130,-0.742,-2.59,0.25
11/26/2023 22:24:00.140,-0.711,-3.695,-0.125
11/26/2023 22:24:00.150,-0.523,-4.832,-0.316
11/26/2023 22:24:00.160,-0.367,-5.574,-0.133
11/26/2023 22:24:00.170,-0.211,-5.316,0.172
11/26/2023 22:24:00.180,0.016,-4.059,0.293
11/26/2023 22:24:00.190,0.398,-2.387,0.137
11/26/2023 22:24:00.200,0.586,-1.18,-0.203
11/26/2023 22:24:00.210,0.477,-0.637,-0.359
11/26/2023 22:24:00.220,0.188,-0.645,-0.258
11/26/2023 22:24:00.230,-0.055,-0.902,-0.145
11/26/2023 22:24:00.240,-0.125,-1.094,-0.156
11/26/2023 22:24:00.250,-0.059,-1.055,-0.203
11/26/2023 22:24:00.260,0.051,-0.879,-0.219
11/26/2023 22:24:00.270,0.133,-0.699,-0.188
11/26/2023 22:24:00.280,0.133,-0.547,-0.125
11/26/2023 22:24:00.290,0.094,-0.406,-0.086
11/26/2023 22:24:00.300,0.055,-0.258,-0.059
11/26/2023 22:24:00.310,0.031,-0.086,-0.027
11/26/2023 22:24:00.320,0.035,0.113,0.008
11/26/2023 22:24:00.330,0.016,0.313,0.008
11/26/2023 22:24:00.340,-0.012,0.504,-0.047
11/26/2023 22:24:00.350,-0.035,0.629,-0.148
11/26/2023 22:24:00.360,-0.02,0.672,-0.27
11/26/2023 22:24:00.370,0,0.625,-0.324
11/26/2023 22:24:00.380,0.012,0.508,-0.273
11/26/2023 22:24:00.390,0.008,0.344,-0.141
11/26/2023 22:24:00.400,0,0.184,-0.012
11/26/2023 22:24:00.410,0.008,0.051,0.094
11/26/2023 22:24:00.420,0.035,-0.051,0.156
11/26/2023 22:24:00.430,0.063,-0.129,0.176
11/26/2023 22:24:00.440,0.035,-0.195,0.172
11/26/2023 22:24:00.450,-0.043,-0.25,0.137
11/26/2023 22:24:00.460,-0.105,-0.301,0.117
11/26/2023 22:24:00.470,-0.133,-0.332,0.109
11/26/2023 22:24:00.480,-0.164,-0.348,0.09
11/26/2023 22:24:00.490,-0.191,-0.332,0.051
11/26/2023 22:24:00.500,-0.242,-0.277,-0.023
11/26/2023 22:24:00.510,-0.266,-0.223,-0.094
11/26/2023 22:24:00.520,-0.234,-0.254,-0.012
11/26/2023 22:24:00.530,-0.156,-0.371,0.164
11/26/2023 22:24:00.540,-0.098,-0.48,0.313
11/26/2023 22:24:00.550,-0.043,-0.574,0.402
11/26/2023 22:24:00.560,0.148,-0.715,0.547
11/26/2023 22:24:00.570,0.457,-0.926,0.297
11/26/2023 22:24:00.580,0.633,-2.324,-0.914
11/26/2023 22:24:00.590,0.336,-6.082,-2.734
11/26/2023 22:24:00.600,-0.609,-6.91,-2.266
11/26/2023 22:24:00.610,-1.125,-8,-2.266
11/26/2023 22:24:00.620,-0.379,-7.016,-1.688
11/26/2023 22:24:00.630,0.523,-3.07,-1.262
11/26/2023 22:24:00.640,1.133,-0.051,-1.551
11/26/2023 22:24:00.650,1.285,1.395,-1.895
11/26/2023 22:24:00.660,0.887,1.398,-1.328
11/26/2023 22:24:00.670,-0.023,0.344,-0.098
11/26/2023 22:24:00.680,-0.805,-1.023,0.566
11/26/2023 22:24:00.690,-0.891,-1.539,0.445
11/26/2023 22:24:00.700,-0.535,-1.176,0.266
11/26/2023 22:24:00.710,-0.137,-0.379,0.152
11/26/2023 22:24:00.720,0.121,0.426,-0.059
11/26/2023 22:24:00.730,0.27,0.977,-0.352
11/26/2023 22:24:00.740,0.27,1.152,-0.59
11/26/2023 22:24:00.750,0.184,1.082,-0.742
11/26/2023 22:24:00.760,0.07,0.832,-0.82
11/26/2023 22:24:00.770,0.027,0.469,-0.688
11/26/2023 22:24:00.780,0.102,0.137,-0.32
11/26/2023 22:24:00.790,0.219,-0.066,0.055
11/26/2023 22:24:00.800,0.227,-0.141,0.242
11/26/2023 22:24:00.810,0.113,-0.145,0.273
11/26/2023 22:24:00.820,-0.043,-0.125,0.266
11/26/2023 22:24:00.830,-0.16,-0.133,0.266
11/26/2023 22:24:00.840,-0.199,-0.168,0.258
11/26/2023 22:24:00.850,-0.18,-0.211,0.168
11/26/2023 22:24:00.860,-0.113,-0.215,0.059
11/26/2023 22:24:00.870,-0.035,-0.176,-0.008
11/26/2023 22:24:00.880,0.02,-0.102,-0.031
11/26/2023 22:24:00.890,0.027,-0.023,-0.035
11/26/2023 22:24:00.900,-0.023,0.023,-0.02
11/26/2023 22:24:00.910,-0.109,0.02,0.023
11/26/2023 22:24:00.920,-0.195,-0.113,0.137
11/26/2023 22:24:00.930,-0.215,-0.352,0.203
11/26/2023 22:24:00.940,-0.191,-0.641,0.258
11/26/2023 22:24:00.950,-0.113,-0.941,0.512
11/26/2023 22:24:00.960,0,-1.23,0.438
11/26/2023 22:24:00.970,-0.059,-1.996,-0.547
11/26/2023 22:24:00.980,-0.645,-5.293,-1.934
11/26/2023 22:24:00.990,-0.902,-7.238,-1.914
11/26/2023 22:24:01.000,-0.965,-8,-2.008
11/26/2023 22:24:01.010,-0.133,-7.59,-1.047
11/26/2023 22:24:01.020,0.148,-3.832,-0.777
