------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 20:50:00
Start Date 12/7/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:57:52
Download Date 12/7/2023
Current Memory Address: 0
Current Battery Voltage: 4.17     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
12/7/2023 20:50:00.000,-0.094,-0.629,-0.07
12/7/2023 20:50:00.010,-0.086,-0.609,-0.047
12/7/2023 20:50:00.020,-0.109,-0.625,-0.039
12/7/2023 20:50:00.030,-0.125,-0.727,-0.02
12/7/2023 20:50:00.040,-0.082,-0.879,0.008
12/7/2023 20:50:00.050,-0.012,-1.043,0.047
12/7/2023 20:50:00.060,0.066,-1.164,0.063
12/7/2023 20:50:00.070,0.125,-1.223,0.051
12/7/2023 20:50:00.080,0.148,-1.207,0.008
12/7/2023 20:50:00.090,0.148,-1.148,-0.02
12/7/2023 20:50:00.100,0.121,-1.063,-0.031
12/7/2023 20:50:00.110,0.086,-0.953,-0.023
12/7/2023 20:50:00.120,0.063,-0.852,0
12/7/2023 20:50:00.130,0.035,-0.742,0.027
12/7/2023 20:50:00.140,0.016,-0.664,0.07
12/7/2023 20:50:00.150,-0.016,-0.656,0.113
12/7/2023 20:50:00.160,-0.051,-0.645,0.117
12/7/2023 20:50:00.170,-0.098,-0.645,0.094
12/7/2023 20:50:00.180,-0.152,-0.668,0.066
12/7/2023 20:50:00.190,-0.199,-0.711,0.035
12/7/2023 20:50:00.200,-0.219,-0.762,0.016
12/7/2023 20:50:00.210,-0.215,-0.805,0.023
12/7/2023 20:50:00.220,-0.207,-0.84,0.039
12/7/2023 20:50:00.230,-0.199,-0.863,0.07
12/7/2023 20:50:00.240,-0.191,-0.883,0.109
12/7/2023 20:50:00.250,-0.188,-0.902,0.145
12/7/2023 20:50:00.260,-0.172,-0.93,0.188
12/7/2023 20:50:00.270,-0.152,-0.957,0.238
12/7/2023 20:50:00.280,-0.148,-0.98,0.281
12/7/2023 20:50:00.290,-0.16,-0.996,0.309
12/7/2023 20:50:00.300,-0.176,-0.992,0.281
12/7/2023 20:50:00.310,-0.191,-0.988,0.258
12/7/2023 20:50:00.320,-0.211,-0.996,0.281
12/7/2023 20:50:00.330,-0.25,-1.012,0.328
12/7/2023 20:50:00.340,-0.309,-1.047,0.34
12/7/2023 20:50:00.350,-0.359,-1.074,0.285
12/7/2023 20:50:00.360,-0.367,-1.094,0.246
12/7/2023 20:50:00.370,-0.32,-1.148,0.215
12/7/2023 20:50:00.380,-0.266,-1.215,0.188
12/7/2023 20:50:00.390,-0.219,-1.285,0.156
12/7/2023 20:50:00.400,-0.145,-1.34,0.117
12/7/2023 20:50:00.410,-0.07,-1.391,0.094
12/7/2023 20:50:00.420,0.004,-1.422,0.105
12/7/2023 20:50:00.430,0.066,-1.434,0.121
12/7/2023 20:50:00.440,0.137,-1.414,0.09
12/7/2023 20:50:00.450,0.219,-1.336,0.004
12/7/2023 20:50:00.460,0.227,-1.203,-0.117
12/7/2023 20:50:00.470,0.215,-1.086,-0.203
12/7/2023 20:50:00.480,0.199,-1.008,-0.238
12/7/2023 20:50:00.490,0.188,-0.941,-0.215
12/7/2023 20:50:00.500,0.172,-0.922,-0.164
12/7/2023 20:50:00.510,0.172,-0.949,-0.063
12/7/2023 20:50:00.520,0.133,-1.012,0.039
12/7/2023 20:50:00.530,0.055,-1.102,0.102
12/7/2023 20:50:00.540,0.016,-1.195,0.152
12/7/2023 20:50:00.550,-0.035,-1.289,0.172
12/7/2023 20:50:00.560,-0.082,-1.363,0.176
12/7/2023 20:50:00.570,-0.141,-1.355,0.121
12/7/2023 20:50:00.580,-0.168,-1.293,0.066
12/7/2023 20:50:00.590,-0.176,-1.191,0.02
12/7/2023 20:50:00.600,-0.141,-1.047,0.016
12/7/2023 20:50:00.610,-0.094,-0.895,0.059
12/7/2023 20:50:00.620,-0.055,-0.758,0.121
12/7/2023 20:50:00.630,-0.023,-0.676,0.184
12/7/2023 20:50:00.640,0,-0.641,0.23
12/7/2023 20:50:00.650,0.008,-0.633,0.27
12/7/2023 20:50:00.660,-0.008,-0.625,0.266
12/7/2023 20:50:00.670,-0.043,-0.613,0.227
12/7/2023 20:50:00.680,-0.078,-0.609,0.188
12/7/2023 20:50:00.690,-0.094,-0.613,0.168
12/7/2023 20:50:00.700,-0.109,-0.641,0.172
12/7/2023 20:50:00.710,-0.125,-0.695,0.18
12/7/2023 20:50:00.720,-0.133,-0.758,0.188
12/7/2023 20:50:00.730,-0.152,-0.813,0.215
12/7/2023 20:50:00.740,-0.156,-0.859,0.234
12/7/2023 20:50:00.750,-0.168,-0.891,0.246
12/7/2023 20:50:00.760,-0.168,-0.898,0.246
12/7/2023 20:50:00.770,-0.16,-0.891,0.258
12/7/2023 20:50:00.780,-0.148,-0.867,0.266
12/7/2023 20:50:00.790,-0.145,-0.836,0.262
12/7/2023 20:50:00.800,-0.137,-0.797,0.25
12/7/2023 20:50:00.810,-0.133,-0.777,0.242
12/7/2023 20:50:00.820,-0.137,-0.781,0.273
12/7/2023 20:50:00.830,-0.141,-0.828,0.352
12/7/2023 20:50:00.840,-0.172,-0.875,0.387
12/7/2023 20:50:00.850,-0.184,-0.895,0.359
12/7/2023 20:50:00.860,-0.176,-0.914,0.301
12/7/2023 20:50:00.870,-0.152,-0.973,0.262
12/7/2023 20:50:00.880,-0.148,-1.074,0.246
12/7/2023 20:50:00.890,-0.16,-1.203,0.266
12/7/2023 20:50:00.900,-0.16,-1.34,0.309
12/7/2023 20:50:00.910,-0.086,-1.465,0.348
12/7/2023 20:50:00.920,0.031,-1.543,0.324
12/7/2023 20:50:00.930,0.113,-1.578,0.258
12/7/2023 20:50:00.940,0.121,-1.59,0.16
12/7/2023 20:50:00.950,0.105,-1.57,0.047
12/7/2023 20:50:00.960,0.117,-1.5,-0.047
12/7/2023 20:50:00.970,0.18,-1.414,-0.086
12/7/2023 20:50:00.980,0.266,-1.344,-0.07
12/7/2023 20:50:00.990,0.355,-1.305,-0.047
12/7/2023 20:50:01.000,0.387,-1.301,-0.031
12/7/2023 20:50:01.010,0.359,-1.297,-0.039
12/7/2023 20:50:01.020,0.297,-1.246,-0.078
12/7/2023 20:50:01.030,0.219,-1.137,-0.137
12/7/2023 20:50:01.040,0.133,-1.004,-0.203
12/7/2023 20:50:01.050,0,-0.852,-0.293
12/7/2023 20:50:01.060,-0.121,-0.715,-0.289
12/7/2023 20:50:01.070,-0.219,-0.602,-0.219
12/7/2023 20:50:01.080,-0.262,-0.531,-0.133
12/7/2023 20:50:01.090,-0.234,-0.527,-0.066
12/7/2023 20:50:01.100,-0.168,-0.621,0.016
