------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 22:32:00
Start Date 11/26/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 22:32:43
Download Date 11/26/2023
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
11/26/2023 22:32:00.000,-0.043,-0.938,0.41
11/26/2023 22:32:00.010,-0.02,-0.941,0.414
11/26/2023 22:32:00.020,-0.012,-0.941,0.418
11/26/2023 22:32:00.030,-0.012,-0.945,0.418
11/26/2023 22:32:00.040,-0.008,-0.945,0.414
11/26/2023 22:32:00.050,-0.004,-0.941,0.41
11/26/2023 22:32:00.060,0,-0.941,0.414
11/26/2023 22:32:00.070,0,-0.941,0.414
11/26/2023 22:32:00.080,0,-0.945,0.414
11/26/2023 22:32:00.090,0.004,-0.945,0.414
11/26/2023 22:32:00.100,0,-0.945,0.418
11/26/2023 22:32:00.110,0,-0.949,0.422
11/26/2023 22:32:00.120,-0.004,-0.957,0.422
11/26/2023 22:32:00.130,-0.004,-0.961,0.426
11/26/2023 22:32:00.140,-0.004,-0.965,0.434
11/26/2023 22:32:00.150,0.004,-0.973,0.441
11/26/2023 22:32:00.160,-0.004,-0.977,0.449
11/26/2023 22:32:00.170,-0.012,-0.977,0.445
11/26/2023 22:32:00.180,-0.02,-0.98,0.434
11/26/2023 22:32:00.190,-0.023,-0.98,0.422
11/26/2023 22:32:00.200,-0.047,-0.988,0.41
11/26/2023 22:32:00.210,-0.059,-0.973,0.398
11/26/2023 22:32:00.220,-0.066,-0.945,0.391
11/26/2023 22:32:00.230,-0.066,-0.926,0.398
11/26/2023 22:32:00.240,-0.059,-0.91,0.414
11/26/2023 22:32:00.250,-0.035,-0.887,0.438
11/26/2023 22:32:00.260,-0.004,-0.848,0.469
11/26/2023 22:32:00.270,0.016,-0.813,0.508
11/26/2023 22:32:00.280,0.016,-0.785,0.547
11/26/2023 22:32:00.290,-0.004,-0.781,0.582
11/26/2023 22:32:00.300,-0.027,-0.789,0.609
11/26/2023 22:32:00.310,-0.059,-0.801,0.609
11/26/2023 22:32:00.320,-0.098,-0.805,0.59
11/26/2023 22:32:00.330,-0.141,-0.828,0.555
11/26/2023 22:32:00.340,-0.176,-0.863,0.523
11/26/2023 22:32:00.350,-0.199,-0.898,0.5
11/26/2023 22:32:00.360,-0.195,-0.914,0.473
11/26/2023 22:32:00.370,-0.164,-0.898,0.438
11/26/2023 22:32:00.380,-0.125,-0.875,0.43
11/26/2023 22:32:00.390,-0.078,-0.852,0.445
11/26/2023 22:32:00.400,-0.027,-0.844,0.465
11/26/2023 22:32:00.410,0.02,-0.828,0.48
11/26/2023 22:32:00.420,0.066,-0.813,0.477
11/26/2023 22:32:00.430,0.098,-0.809,0.477
11/26/2023 22:32:00.440,0.117,-0.82,0.488
11/26/2023 22:32:00.450,0.129,-0.848,0.496
11/26/2023 22:32:00.460,0.141,-0.871,0.5
11/26/2023 22:32:00.470,0.152,-0.887,0.488
11/26/2023 22:32:00.480,0.172,-0.895,0.465
11/26/2023 22:32:00.490,0.18,-0.895,0.438
11/26/2023 22:32:00.500,0.18,-0.902,0.426
11/26/2023 22:32:00.510,0.18,-0.914,0.422
11/26/2023 22:32:00.520,0.172,-0.91,0.418
11/26/2023 22:32:00.530,0.168,-0.906,0.418
11/26/2023 22:32:00.540,0.168,-0.887,0.414
11/26/2023 22:32:00.550,0.156,-0.879,0.402
11/26/2023 22:32:00.560,0.137,-0.871,0.387
11/26/2023 22:32:00.570,0.113,-0.875,0.371
11/26/2023 22:32:00.580,0.082,-0.91,0.367
11/26/2023 22:32:00.590,0.063,-0.953,0.359
11/26/2023 22:32:00.600,0.043,-1,0.344
11/26/2023 22:32:00.610,0.035,-1.031,0.328
11/26/2023 22:32:00.620,0.012,-1.051,0.316
11/26/2023 22:32:00.630,-0.016,-1.059,0.301
11/26/2023 22:32:00.640,-0.023,-1.055,0.289
11/26/2023 22:32:00.650,-0.02,-1.035,0.27
11/26/2023 22:32:00.660,-0.023,-1.02,0.25
11/26/2023 22:32:00.670,-0.023,-1.027,0.258
11/26/2023 22:32:00.680,-0.023,-1.047,0.266
11/26/2023 22:32:00.690,-0.02,-1.063,0.297
11/26/2023 22:32:00.700,0.008,-1.043,0.32
11/26/2023 22:32:00.710,0.027,-0.984,0.32
11/26/2023 22:32:00.720,0.039,-0.914,0.305
11/26/2023 22:32:00.730,0.047,-0.848,0.285
11/26/2023 22:32:00.740,0.031,-0.82,0.266
11/26/2023 22:32:00.750,0.016,-0.824,0.25
11/26/2023 22:32:00.760,0.02,-0.859,0.227
11/26/2023 22:32:00.770,0.023,-0.902,0.203
11/26/2023 22:32:00.780,0.023,-0.957,0.184
11/26/2023 22:32:00.790,0.008,-1.035,0.195
11/26/2023 22:32:00.800,-0.012,-1.121,0.227
11/26/2023 22:32:00.810,-0.016,-1.18,0.27
11/26/2023 22:32:00.820,0.008,-1.195,0.313
11/26/2023 22:32:00.830,0.039,-1.168,0.344
11/26/2023 22:32:00.840,0.066,-1.109,0.387
11/26/2023 22:32:00.850,0.059,-1.051,0.422
11/26/2023 22:32:00.860,0.047,-1,0.445
11/26/2023 22:32:00.870,0.016,-0.977,0.453
11/26/2023 22:32:00.880,-0.031,-0.969,0.441
11/26/2023 22:32:00.890,-0.07,-0.973,0.41
11/26/2023 22:32:00.900,-0.109,-0.996,0.367
11/26/2023 22:32:00.910,-0.148,-1.031,0.332
11/26/2023 22:32:00.920,-0.184,-1.063,0.293
11/26/2023 22:32:00.930,-0.199,-1.09,0.242
11/26/2023 22:32:00.940,-0.184,-1.102,0.191
11/26/2023 22:32:00.950,-0.152,-1.105,0.16
11/26/2023 22:32:00.960,-0.113,-1.102,0.133
11/26/2023 22:32:00.970,-0.07,-1.094,0.113
11/26/2023 22:32:00.980,-0.023,-1.102,0.109
11/26/2023 22:32:00.990,0.012,-1.102,0.121
11/26/2023 22:32:01.000,0.016,-1.086,0.141
11/26/2023 22:32:01.010,0.023,-1.059,0.152
11/26/2023 22:32:01.020,0.016,-1.02,0.168
11/26/2023 22:32:01.030,0,-0.969,0.164
11/26/2023 22:32:01.040,-0.023,-0.914,0.152
11/26/2023 22:32:01.050,-0.059,-0.867,0.145
11/26/2023 22:32:01.060,-0.098,-0.855,0.145
11/26/2023 22:32:01.070,-0.129,-0.863,0.168
11/26/2023 22:32:01.080,-0.16,-0.863,0.188
11/26/2023 22:32:01.090,-0.191,-0.832,0.176
11/26/2023 22:32:01.100,-0.207,-0.785,0.141
11/26/2023 22:32:01.110,-0.234,-0.727,0.113
11/26/2023 22:32:01.120,-0.25,-0.68,0.105
11/26/2023 22:32:01.130,-0.242,-0.633,0.109
11/26/2023 22:32:01.140,-0.215,-0.582,0.129
11/26/2023 22:32:01.150,-0.18,-0.523,0.16
11/26/2023 22:32:01.160,-0.141,-0.43,0.16
11/26/2023 22:32:01.170,-0.102,-0.297,0.105
11/26/2023 22:32:01.180,-0.051,-0.184,0.031
11/26/2023 22:32:01.190,-0.004,-0.16,0.012
11/26/2023 22:32:01.200,-0.023,-0.258,0.059
11/26/2023 22:32:01.210,-0.125,-0.434,0.117
11/26/2023 22:32:01.220,-0.23,-0.637,0.191
11/26/2023 22:32:01.230,-0.32,-0.813,0.242
11/26/2023 22:32:01.240,-0.387,-0.965,0.273
11/26/2023 22:32:01.250,-0.426,-1.117,0.316
11/26/2023 22:32:01.260,-0.441,-1.301,0.344
11/26/2023 22:32:01.270,-0.43,-1.492,0.383
11/26/2023 22:32:01.280,-0.34,-1.676,0.461
11/26/2023 22:32:01.290,-0.184,-1.797,0.594
11/26/2023 22:32:01.300,-0.059,-1.813,0.727
11/26/2023 22:32:01.310,-0.059,-1.754,0.785
11/26/2023 22:32:01.320,-0.219,-1.77,0.824
11/26/2023 22:32:01.330,-0.387,-1.859,0.816
11/26/2023 22:32:01.340,-0.32,-1.902,0.695
11/26/2023 22:32:01.350,-0.145,-1.871,0.469
11/26/2023 22:32:01.360,-0.051,-1.832,0.129
11/26/2023 22:32:01.370,0.094,-1.801,-0.102
11/26/2023 22:32:01.380,0.281,-1.734,-0.23
11/26/2023 22:32:01.390,0.418,-1.629,-0.332
11/26/2023 22:32:01.400,0.566,-1.484,-0.313
11/26/2023 22:32:01.410,0.754,-1.395,-0.242
11/26/2023 22:32:01.420,0.879,-1.363,-0.148
11/26/2023 22:32:01.430,0.844,-1.387,-0.063
11/26/2023 22:32:01.440,0.691,-1.414,0.016
11/26/2023 22:32:01.450,0.563,-1.434,0.078
11/26/2023 22:32:01.460,0.547,-1.484,0.082
11/26/2023 22:32:01.470,0.598,-1.641,0.082
11/26/2023 22:32:01.480,0.625,-1.879,0.117
11/26/2023 22:32:01.490,0.629,-2.105,0.152
11/26/2023 22:32:01.500,0.605,-2.234,0.203
11/26/2023 22:32:01.510,0.57,-2.164,0.254
11/26/2023 22:32:01.520,0.492,-1.93,0.293
11/26/2023 22:32:01.530,0.441,-1.637,0.328
11/26/2023 22:32:01.540,0.422,-1.352,0.383
11/26/2023 22:32:01.550,0.383,-1.125,0.363
11/26/2023 22:32:01.560,0.313,-0.98,0.285
11/26/2023 22:32:01.570,0.234,-0.859,0.168
11/26/2023 22:32:01.580,0.086,-0.723,0.016
11/26/2023 22:32:01.590,-0.059,-0.508,-0.066
11/26/2023 22:32:01.600,-0.137,-0.207,-0.117
11/26/2023 22:32:01.610,-0.191,0.16,-0.176
11/26/2023 22:32:01.620,-0.316,0.473,-0.203
11/26/2023 22:32:01.630,-0.426,0.691,-0.195
11/26/2023 22:32:01.640,-0.473,0.766,-0.152
11/26/2023 22:32:01.650,-0.41,0.707,-0.105
11/26/2023 22:32:01.660,-0.332,0.563,-0.063
11/26/2023 22:32:01.670,-0.23,0.348,0.059
11/26/2023 22:32:01.680,-0.098,0.117,0.211
11/26/2023 22:32:01.690,-0.004,-0.082,0.289
11/26/2023 22:32:01.700,0.02,-0.219,0.262
11/26/2023 22:32:01.710,0.02,-0.273,0.152
11/26/2023 22:32:01.720,0.039,-0.25,0.023
11/26/2023 22:32:01.730,0.055,-0.203,-0.082
11/26/2023 22:32:01.740,0.047,-0.16,-0.129
11/26/2023 22:32:01.750,0.02,-0.129,-0.121
11/26/2023 22:32:01.760,-0.012,-0.098,-0.086
11/26/2023 22:32:01.770,-0.016,-0.055,-0.07
11/26/2023 22:32:01.780,0,-0.023,-0.098
11/26/2023 22:32:01.790,0.109,-0.035,-0.102
11/26/2023 22:32:01.800,0.148,-0.156,0.027
11/26/2023 22:32:01.810,-0.063,-0.422,0.184
11/26/2023 22:32:01.820,-0.199,-0.723,0.484
11/26/2023 22:32:01.830,-0.098,-0.926,1.035
11/26/2023 22:32:01.840,-0.191,-1.137,1.34
11/26/2023 22:32:01.850,-0.145,-1.391,1.273
11/26/2023 22:32:01.860,0.449,-1.641,1.336
11/26/2023 22:32:01.870,0.566,-2.359,1.543
11/26/2023 22:32:01.880,0.074,-3.305,1.289
11/26/2023 22:32:01.890,0.078,-3.68,0.91
11/26/2023 22:32:01.900,0.133,-3.258,0.656
11/26/2023 22:32:01.910,-0.184,-2.266,0.406
11/26/2023 22:32:01.920,-0.297,-1.219,0.09
11/26/2023 22:32:01.930,0.102,-0.543,-0.113
11/26/2023 22:32:01.940,0.738,-0.43,-0.156
11/26/2023 22:32:01.950,1.18,-0.715,-0.051
11/26/2023 22:32:01.960,1.34,-1.191,0.086
11/26/2023 22:32:01.970,1.355,-1.684,0.063
11/26/2023 22:32:01.980,1.375,-2.098,-0.133
11/26/2023 22:32:01.990,1.234,-2.352,-0.336
11/26/2023 22:32:02.000,0.875,-2.23,-0.504
11/26/2023 22:32:02.010,0.543,-1.711,-0.559
11/26/2023 22:32:02.020,0.316,-1,-0.48
11/26/2023 22:32:02.030,0.145,-0.332,-0.359
11/26/2023 22:32:02.040,-0.133,-0.363,-0.316
11/26/2023 22:32:02.050,-0.367,-1.172,0.125
11/26/2023 22:32:02.060,-0.371,-2.059,0.73
11/26/2023 22:32:02.070,-0.234,-2.445,0.809
11/26/2023 22:32:02.080,-0.047,-2.199,0.27
11/26/2023 22:32:02.090,0.031,-1.789,-0.246
11/26/2023 22:32:02.100,0.063,-1.609,-0.34
11/26/2023 22:32:02.110,0.195,-1.57,-0.293
11/26/2023 22:32:02.120,0.535,-1.352,-0.297
11/26/2023 22:32:02.130,0.875,-1.047,-0.293
11/26/2023 22:32:02.140,0.824,-0.895,-0.18
11/26/2023 22:32:02.150,0.516,-0.906,0.023
11/26/2023 22:32:02.160,0.254,-0.84,0.199
11/26/2023 22:32:02.170,0.133,-0.617,0.23
11/26/2023 22:32:02.180,0.133,-0.289,0.129
11/26/2023 22:32:02.190,0.133,0.047,-0.016
11/26/2023 22:32:02.200,0.027,0.324,-0.098
11/26/2023 22:32:02.210,-0.078,0.523,-0.156
11/26/2023 22:32:02.220,-0.086,0.613,-0.172
11/26/2023 22:32:02.230,-0.105,0.543,-0.172
11/26/2023 22:32:02.240,-0.117,0.34,-0.137
11/26/2023 22:32:02.250,-0.082,0.113,-0.094
11/26/2023 22:32:02.260,-0.016,-0.059,-0.098
11/26/2023 22:32:02.270,0.023,-0.176,-0.117
11/26/2023 22:32:02.280,0.051,-0.23,-0.133
11/26/2023 22:32:02.290,0.078,-0.25,-0.141
11/26/2023 22:32:02.300,0.098,-0.25,-0.129
11/26/2023 22:32:02.310,0.098,-0.238,-0.086
11/26/2023 22:32:02.320,0.078,-0.207,-0.031
11/26/2023 22:32:02.330,0.059,-0.168,0.02
11/26/2023 22:32:02.340,0.063,-0.098,-0.004
11/26/2023 22:32:02.350,0.004,0.027,-0.066
11/26/2023 22:32:02.360,-0.012,-0.016,0.082
11/26/2023 22:32:02.370,-0.211,-0.234,0.359
11/26/2023 22:32:02.380,-0.488,-0.375,0.543
11/26/2023 22:32:02.390,-0.672,-0.457,0.57
11/26/2023 22:32:02.400,-0.867,-0.715,0.715
11/26/2023 22:32:02.410,-1.148,-1.168,0.691
11/26/2023 22:32:02.420,-1.582,-1.824,0.313
11/26/2023 22:32:02.430,-2.059,-2.836,-0.055
11/26/2023 22:32:02.440,-1.762,-3.863,0.18
11/26/2023 22:32:02.450,-0.762,-3.648,0.805
11/26/2023 22:32:02.460,0.016,-2.371,1.234
11/26/2023 22:32:02.470,0.031,-1.281,0.941
11/26/2023 22:32:02.480,-0.207,-0.957,0.395
11/26/2023 22:32:02.490,-0.34,-1.262,0.355
11/26/2023 22:32:02.500,-0.215,-1.746,0.434
11/26/2023 22:32:02.510,0.199,-1.984,0.113
11/26/2023 22:32:02.520,0.57,-1.961,-0.328
11/26/2023 22:32:02.530,0.797,-1.766,-0.66
11/26/2023 22:32:02.540,0.949,-1.641,-0.848
11/26/2023 22:32:02.550,1.051,-1.82,-0.535
11/26/2023 22:32:02.560,1.09,-2.09,-0.039
11/26/2023 22:32:02.570,0.926,-2.137,0.188
11/26/2023 22:32:02.580,0.73,-1.855,0.207
11/26/2023 22:32:02.590,0.664,-1.484,0.016
11/26/2023 22:32:02.600,0.586,-1.391,-0.117
11/26/2023 22:32:02.610,0.359,-1.598,-0.074
11/26/2023 22:32:02.620,0.313,-1.938,0.039
11/26/2023 22:32:02.630,0.527,-2.242,0.223
11/26/2023 22:32:02.640,0.711,-2.324,0.383
11/26/2023 22:32:02.650,0.777,-2.105,0.402
11/26/2023 22:32:02.660,0.805,-1.703,0.406
11/26/2023 22:32:02.670,0.73,-1.289,0.441
11/26/2023 22:32:02.680,0.563,-0.93,0.422
11/26/2023 22:32:02.690,0.344,-0.68,0.289
11/26/2023 22:32:02.700,0.125,-0.543,0.09
11/26/2023 22:32:02.710,-0.094,-0.453,-0.098
11/26/2023 22:32:02.720,-0.336,-0.324,-0.25
11/26/2023 22:32:02.730,-0.531,-0.086,-0.289
11/26/2023 22:32:02.740,-0.691,0.176,-0.258
11/26/2023 22:32:02.750,-0.766,0.379,-0.191
11/26/2023 22:32:02.760,-0.672,0.477,-0.117
11/26/2023 22:32:02.770,-0.527,0.461,-0.082
11/26/2023 22:32:02.780,-0.367,0.391,-0.082
11/26/2023 22:32:02.790,-0.195,0.285,-0.055
11/26/2023 22:32:02.800,0.035,0.195,0.09
11/26/2023 22:32:02.810,0.234,0.141,0.188
11/26/2023 22:32:02.820,0.277,0.102,0.184
11/26/2023 22:32:02.830,0.254,0.098,0.137
11/26/2023 22:32:02.840,0.238,0.113,0.082
11/26/2023 22:32:02.850,0.195,0.125,0.008
11/26/2023 22:32:02.860,0.156,0.141,-0.063
11/26/2023 22:32:02.870,0.16,0.156,-0.137
11/26/2023 22:32:02.880,0.18,0.148,-0.211
11/26/2023 22:32:02.890,0.18,0.098,-0.227
11/26/2023 22:32:02.900,0.188,-0.035,-0.23
11/26/2023 22:32:02.910,0.305,-0.254,-0.109
11/26/2023 22:32:02.920,0.262,-0.566,0.23
11/26/2023 22:32:02.930,-0.043,-0.98,0.512
11/26/2023 22:32:02.940,-0.109,-1.242,0.902
11/26/2023 22:32:02.950,-0.031,-1.238,1.289
11/26/2023 22:32:02.960,-0.258,-1.293,1.605
11/26/2023 22:32:02.970,-0.184,-1.371,1.383
11/26/2023 22:32:02.980,0.152,-1.469,1.211
11/26/2023 22:32:02.990,-0.41,-2.117,1.348
11/26/2023 22:32:03.000,-0.809,-2.578,1.168
11/26/2023 22:32:03.010,-0.508,-2.457,0.656
11/26/2023 22:32:03.020,-0.332,-1.914,0.32
11/26/2023 22:32:03.030,-0.445,-1.359,0.098
11/26/2023 22:32:03.040,-0.371,-1.063,-0.027
11/26/2023 22:32:03.050,0.219,-0.953,-0.039
11/26/2023 22:32:03.060,0.852,-0.918,-0.355
11/26/2023 22:32:03.070,1.379,-0.934,-0.641
11/26/2023 22:32:03.080,1.918,-1.09,-0.777
11/26/2023 22:32:03.090,2.402,-1.57,-0.762
11/26/2023 22:32:03.100,2.563,-2.473,-0.711
11/26/2023 22:32:03.110,2.148,-3.535,-0.82
11/26/2023 22:32:03.120,1.012,-4.051,-0.906
11/26/2023 22:32:03.130,0.238,-3.113,-0.875
11/26/2023 22:32:03.140,-0.07,-1.227,-0.98
11/26/2023 22:32:03.150,-0.32,0.16,-1.047
11/26/2023 22:32:03.160,-0.805,-0.078,-0.637
11/26/2023 22:32:03.170,-1.215,-1.422,0.336
11/26/2023 22:32:03.180,-1.008,-2.559,1.211
11/26/2023 22:32:03.190,-0.176,-2.414,0.848
11/26/2023 22:32:03.200,-0.008,-1.793,-0.199
11/26/2023 22:32:03.210,-0.164,-1.359,-0.727
11/26/2023 22:32:03.220,0.016,-1.285,-0.594
11/26/2023 22:32:03.230,0.578,-1.34,-0.316
11/26/2023 22:32:03.240,1.145,-1.352,0.016
11/26/2023 22:32:03.250,1.211,-1.332,0.227
11/26/2023 22:32:03.260,0.887,-1.25,0.27
11/26/2023 22:32:03.270,0.586,-1.035,0.215
11/26/2023 22:32:03.280,0.41,-0.676,0.113
11/26/2023 22:32:03.290,0.285,-0.223,0.051
11/26/2023 22:32:03.300,0.168,0.254,-0.008
11/26/2023 22:32:03.310,0.078,0.664,-0.102
11/26/2023 22:32:03.320,-0.016,0.883,-0.223
11/26/2023 22:32:03.330,-0.07,0.828,-0.336
11/26/2023 22:32:03.340,-0.07,0.582,-0.344
11/26/2023 22:32:03.350,-0.051,0.281,-0.273
11/26/2023 22:32:03.360,-0.012,0.043,-0.211
11/26/2023 22:32:03.370,0.039,-0.086,-0.195
11/26/2023 22:32:03.380,0.125,-0.117,-0.168
11/26/2023 22:32:03.390,0.164,-0.191,-0.094
11/26/2023 22:32:03.400,0.199,-0.254,-0.059
11/26/2023 22:32:03.410,0.211,-0.289,-0.102
11/26/2023 22:32:03.420,0.25,-0.301,-0.164
11/26/2023 22:32:03.430,0.34,-0.316,-0.113
11/26/2023 22:32:03.440,0.371,-0.301,0
11/26/2023 22:32:03.450,0.258,-0.203,-0.027
11/26/2023 22:32:03.460,0.148,-0.168,0.125
11/26/2023 22:32:03.470,0.145,-0.148,0.172
11/26/2023 22:32:03.480,0.047,-0.188,0.184
11/26/2023 22:32:03.490,-0.211,-0.426,0.426
11/26/2023 22:32:03.500,-0.547,-0.66,0.715
11/26/2023 22:32:03.510,-0.813,-0.852,0.773
11/26/2023 22:32:03.520,-1.227,-1.336,0.859
11/26/2023 22:32:03.530,-2.031,-2.238,0.59
11/26/2023 22:32:03.540,-2.801,-3.242,-0.27
11/26/2023 22:32:03.550,-2.695,-4.043,-0.273
11/26/2023 22:32:03.560,-1.391,-3.527,0.641
11/26/2023 22:32:03.570,-0.297,-1.961,1.141
11/26/2023 22:32:03.580,-0.434,-0.781,0.82
11/26/2023 22:32:03.590,-0.629,-0.512,0.285
11/26/2023 22:32:03.600,-0.266,-0.754,0.109
11/26/2023 22:32:03.610,0.109,-1.094,0.074
11/26/2023 22:32:03.620,0.355,-1.352,0.156
11/26/2023 22:32:03.630,0.711,-1.43,0.199
11/26/2023 22:32:03.640,0.949,-1.34,-0.02
11/26/2023 22:32:03.650,1.246,-1.305,-0.277
11/26/2023 22:32:03.660,1.352,-1.41,-0.684
11/26/2023 22:32:03.670,1.18,-1.75,-0.406
11/26/2023 22:32:03.680,0.957,-2.172,0.352
11/26/2023 22:32:03.690,0.637,-2.285,0.605
11/26/2023 22:32:03.700,0.316,-1.984,0.363
11/26/2023 22:32:03.710,0.215,-1.652,-0.121
11/26/2023 22:32:03.720,0.289,-1.75,-0.195
11/26/2023 22:32:03.730,0.328,-2.137,0.152
11/26/2023 22:32:03.740,0.32,-2.516,0.402
11/26/2023 22:32:03.750,0.379,-2.59,0.484
11/26/2023 22:32:03.760,0.469,-2.285,0.496
11/26/2023 22:32:03.770,0.52,-1.801,0.457
11/26/2023 22:32:03.780,0.516,-1.262,0.426
11/26/2023 22:32:03.790,0.441,-0.855,0.457
11/26/2023 22:32:03.800,0.25,-0.664,0.445
11/26/2023 22:32:03.810,0,-0.59,0.324
11/26/2023 22:32:03.820,-0.203,-0.484,0.137
11/26/2023 22:32:03.830,-0.352,-0.309,-0.039
11/26/2023 22:32:03.840,-0.492,-0.086,-0.195
11/26/2023 22:32:03.850,-0.586,0.137,-0.281
11/26/2023 22:32:03.860,-0.629,0.316,-0.297
11/26/2023 22:32:03.870,-0.598,0.41,-0.266
11/26/2023 22:32:03.880,-0.453,0.406,-0.199
11/26/2023 22:32:03.890,-0.32,0.328,-0.152
11/26/2023 22:32:03.900,-0.18,0.25,-0.082
11/26/2023 22:32:03.910,-0.016,0.223,-0.023
11/26/2023 22:32:03.920,0.102,0.234,-0.035
11/26/2023 22:32:03.930,0.18,0.234,-0.078
11/26/2023 22:32:03.940,0.238,0.215,-0.117
11/26/2023 22:32:03.950,0.238,0.145,-0.113
11/26/2023 22:32:03.960,0.188,0.055,-0.066
11/26/2023 22:32:03.970,0.129,-0.012,-0.031
11/26/2023 22:32:03.980,0.086,-0.023,-0.07
11/26/2023 22:32:03.990,0.074,-0.016,-0.16
11/26/2023 22:32:04.000,0.121,-0.027,-0.238
11/26/2023 22:32:04.010,0.203,-0.145,-0.184
11/26/2023 22:32:04.020,0.063,-0.402,-0.004
11/26/2023 22:32:04.030,-0.102,-0.758,0.293
11/26/2023 22:32:04.040,-0.07,-1.086,0.785
11/26/2023 22:32:04.050,-0.105,-1.352,1.453
11/26/2023 22:32:04.060,-0.234,-1.477,1.59
11/26/2023 22:32:04.070,-0.102,-1.469,1.402
11/26/2023 22:32:04.080,0.094,-1.648,1.254
11/26/2023 22:32:04.090,-0.375,-2.375,1.141
11/26/2023 22:32:04.100,-0.688,-2.906,1.016
11/26/2023 22:32:04.110,-0.441,-2.793,0.77
11/26/2023 22:32:04.120,-0.16,-2.066,0.563
11/26/2023 22:32:04.130,-0.137,-1.25,0.105
11/26/2023 22:32:04.140,-0.027,-0.805,-0.258
11/26/2023 22:32:04.150,0.477,-0.773,-0.227
11/26/2023 22:32:04.160,1.066,-0.98,0.09
11/26/2023 22:32:04.170,1.32,-1.289,0.27
11/26/2023 22:32:04.180,1.328,-1.73,0.168
11/26/2023 22:32:04.190,1.34,-2.18,0.004
11/26/2023 22:32:04.200,1.289,-2.496,-0.223
11/26/2023 22:32:04.210,0.906,-2.566,-0.406
11/26/2023 22:32:04.220,0.246,-2.262,-0.504
11/26/2023 22:32:04.230,-0.09,-1.52,-0.602
11/26/2023 22:32:04.240,-0.207,-0.922,-0.48
11/26/2023 22:32:04.250,-0.219,-0.977,-0.234
11/26/2023 22:32:04.260,-0.273,-1.66,0.219
11/26/2023 22:32:04.270,-0.449,-2.328,0.648
11/26/2023 22:32:04.280,-0.391,-2.434,0.672
11/26/2023 22:32:04.290,-0.137,-2.035,0.25
11/26/2023 22:32:04.300,-0.016,-1.609,-0.102
11/26/2023 22:32:04.310,0.031,-1.422,-0.16
11/26/2023 22:32:04.320,0.102,-1.469,-0.043
11/26/2023 22:32:04.330,0.352,-1.48,-0.016
11/26/2023 22:32:04.340,0.688,-1.348,0.016
11/26/2023 22:32:04.350,0.816,-1.148,0.047
11/26/2023 22:32:04.360,0.707,-0.988,0.051
11/26/2023 22:32:04.370,0.551,-0.809,0.07
11/26/2023 22:32:04.380,0.355,-0.527,0.109
11/26/2023 22:32:04.390,0.129,-0.121,0.145
